section,key,value
general,total_batches,500
general,completed_batches,154
general,rejected_batches,346
general,simulation_time,2074.0
general,output_units,616
general,rejected_units,1384
general,completion_rate,0.308
general,rejection_rate,0.692
general,average_cycle_time,27.562
general,average_wait_time,1.962
general,throughput,0.2970106075216972
general,total_breakdowns,1214
general,total_repair_time,1214.0
general,total_busy_time,3870.0
general,total_idle_time,1138.0
stage:cutting,stage_id,cutting
stage:cutting,processed_batches,500
stage:cutting,output_units,2000
stage:cutting,average_wait_time,0.728
stage:cutting,average_processing_time,2.0
stage:cutting,average_queue_length,0.42430086788813887
stage:cutting,max_queue_length,4.0
stage:cutting,average_buffer_length,0.0
stage:cutting,max_buffer_length,0.0
stage:cutting,utilization,0.4821600771456123
stage:cutting,rejected_batches,1
stage:cutting,breakdowns,516
stage:cutting,downtime_time,516.0
stage:cutting,completion_rate,0.308
stage:assembly,stage_id,assembly
stage:assembly,processed_batches,499
stage:assembly,output_units,1996
stage:assembly,average_wait_time,1.1402805611222444
stage:assembly,average_processing_time,2.0
stage:assembly,average_queue_length,0.5159112825458052
stage:assembly,max_queue_length,5.0
stage:assembly,average_buffer_length,0.0
stage:assembly,max_buffer_length,0.0
stage:assembly,utilization,0.4811957569913211
stage:assembly,rejected_batches,7
stage:assembly,breakdowns,501
stage:assembly,downtime_time,501.0
stage:assembly,completion_rate,0.30861723446893785
stage:quality,stage_id,quality
stage:quality,processed_batches,492
stage:quality,output_units,1968
stage:quality,average_wait_time,0.0975609756097561
stage:quality,average_processing_time,3.8048780487804876
stage:quality,average_queue_length,2.063162970106075
stage:quality,max_queue_length,3.0
stage:quality,average_buffer_length,1.7753134040501446
stage:quality,max_buffer_length,2.0
stage:quality,utilization,0.9026036644165863
stage:quality,rejected_batches,338
stage:quality,breakdowns,197
stage:quality,downtime_time,197.0
stage:quality,completion_rate,0.3130081300813008
machine:cut-1,machine_id,cut-1
machine:cut-1,stage_id,cutting
machine:cut-1,busy_time,1000.0
machine:cut-1,idle_time,558.0
machine:cut-1,downtime_time,516.0
machine:cut-1,breakdowns,516
machine:cut-1,repair_count,516
machine:cut-1,average_repair_time,1.0
machine:cut-1,utilization,0.4821600771456123
machine:asm-1,machine_id,asm-1
machine:asm-1,stage_id,assembly
machine:asm-1,busy_time,998.0
machine:asm-1,idle_time,575.0
machine:asm-1,downtime_time,501.0
machine:asm-1,breakdowns,501
machine:asm-1,repair_count,501
machine:asm-1,average_repair_time,1.0
machine:asm-1,utilization,0.4811957569913211
machine:qc-1,machine_id,qc-1
machine:qc-1,stage_id,quality
machine:qc-1,busy_time,1872.0
machine:qc-1,idle_time,5.0
machine:qc-1,downtime_time,197.0
machine:qc-1,breakdowns,197
machine:qc-1,repair_count,197
machine:qc-1,average_repair_time,1.0
machine:qc-1,utilization,0.9026036644165863
batch:batch-1,batch_id,batch-1
batch:batch-1,cycle_time,17.0
batch:batch-1,queue_wait_time,0.0
batch:batch-1,processing_time,16.0
batch:batch-1,stages_count,3
batch:batch-1,completed,True
batch:batch-1,rejected,False
batch:batch-1,waited_in_queue,False
batch:batch-1,status,completed
batch:batch-2,batch_id,batch-2
batch:batch-2,cycle_time,26.0
batch:batch-2,queue_wait_time,8.0
batch:batch-2,processing_time,16.0
batch:batch-2,stages_count,3
batch:batch-2,completed,True
batch:batch-2,rejected,False
batch:batch-2,waited_in_queue,True
batch:batch-2,status,completed
batch:batch-3,batch_id,batch-3
batch:batch-3,cycle_time,34.0
batch:batch-3,queue_wait_time,18.0
batch:batch-3,processing_time,16.0
batch:batch-3,stages_count,3
batch:batch-3,completed,True
batch:batch-3,rejected,False
batch:batch-3,waited_in_queue,True
batch:batch-3,status,completed
batch:batch-4,batch_id,batch-4
batch:batch-4,cycle_time,42.0
batch:batch-4,queue_wait_time,22.0
batch:batch-4,processing_time,16.0
batch:batch-4,stages_count,3
batch:batch-4,completed,True
batch:batch-4,rejected,False
batch:batch-4,waited_in_queue,True
batch:batch-4,status,completed
batch:batch-5,batch_id,batch-5
batch:batch-5,cycle_time,51.0
batch:batch-5,queue_wait_time,2.0
batch:batch-5,processing_time,16.0
batch:batch-5,stages_count,3
batch:batch-5,completed,True
batch:batch-5,rejected,False
batch:batch-5,waited_in_queue,True
batch:batch-5,status,completed
batch:batch-6,batch_id,batch-6
batch:batch-6,cycle_time,60.0
batch:batch-6,queue_wait_time,0.0
batch:batch-6,processing_time,16.0
batch:batch-6,stages_count,3
batch:batch-6,completed,True
batch:batch-6,rejected,False
batch:batch-6,waited_in_queue,True
batch:batch-6,status,completed
batch:batch-7,batch_id,batch-7
batch:batch-7,cycle_time,68.0
batch:batch-7,queue_wait_time,1.0
batch:batch-7,processing_time,16.0
batch:batch-7,stages_count,3
batch:batch-7,completed,True
batch:batch-7,rejected,False
batch:batch-7,waited_in_queue,True
batch:batch-7,status,completed
batch:batch-8,batch_id,batch-8
batch:batch-8,cycle_time,7.0
batch:batch-8,queue_wait_time,1.0
batch:batch-8,processing_time,4.0
batch:batch-8,stages_count,3
batch:batch-8,completed,False
batch:batch-8,rejected,True
batch:batch-8,waited_in_queue,True
batch:batch-8,status,rejected
batch:batch-9,batch_id,batch-9
batch:batch-9,cycle_time,6.0
batch:batch-9,queue_wait_time,1.0
batch:batch-9,processing_time,4.0
batch:batch-9,stages_count,3
batch:batch-9,completed,False
batch:batch-9,rejected,True
batch:batch-9,waited_in_queue,True
batch:batch-9,status,rejected
batch:batch-10,batch_id,batch-10
batch:batch-10,cycle_time,4.0
batch:batch-10,queue_wait_time,0.0
batch:batch-10,processing_time,4.0
batch:batch-10,stages_count,3
batch:batch-10,completed,False
batch:batch-10,rejected,True
batch:batch-10,waited_in_queue,False
batch:batch-10,status,rejected
batch:batch-11,batch_id,batch-11
batch:batch-11,cycle_time,70.0
batch:batch-11,queue_wait_time,0.0
batch:batch-11,processing_time,16.0
batch:batch-11,stages_count,3
batch:batch-11,completed,True
batch:batch-11,rejected,False
batch:batch-11,waited_in_queue,True
batch:batch-11,status,completed
batch:batch-12,batch_id,batch-12
batch:batch-12,cycle_time,4.0
batch:batch-12,queue_wait_time,0.0
batch:batch-12,processing_time,4.0
batch:batch-12,stages_count,3
batch:batch-12,completed,False
batch:batch-12,rejected,True
batch:batch-12,waited_in_queue,False
batch:batch-12,status,rejected
batch:batch-13,batch_id,batch-13
batch:batch-13,cycle_time,74.0
batch:batch-13,queue_wait_time,0.0
batch:batch-13,processing_time,16.0
batch:batch-13,stages_count,3
batch:batch-13,completed,True
batch:batch-13,rejected,False
batch:batch-13,waited_in_queue,True
batch:batch-13,status,completed
batch:batch-14,batch_id,batch-14
batch:batch-14,cycle_time,14.0
batch:batch-14,queue_wait_time,0.0
batch:batch-14,processing_time,4.0
batch:batch-14,stages_count,3
batch:batch-14,completed,False
batch:batch-14,rejected,True
batch:batch-14,waited_in_queue,False
batch:batch-14,status,rejected
batch:batch-15,batch_id,batch-15
batch:batch-15,cycle_time,78.0
batch:batch-15,queue_wait_time,8.0
batch:batch-15,processing_time,16.0
batch:batch-15,stages_count,3
batch:batch-15,completed,True
batch:batch-15,rejected,False
batch:batch-15,waited_in_queue,True
batch:batch-15,status,completed
batch:batch-16,batch_id,batch-16
batch:batch-16,cycle_time,13.0
batch:batch-16,queue_wait_time,8.0
batch:batch-16,processing_time,4.0
batch:batch-16,stages_count,3
batch:batch-16,completed,False
batch:batch-16,rejected,True
batch:batch-16,waited_in_queue,True
batch:batch-16,status,rejected
batch:batch-17,batch_id,batch-17
batch:batch-17,cycle_time,13.0
batch:batch-17,queue_wait_time,6.0
batch:batch-17,processing_time,4.0
batch:batch-17,stages_count,3
batch:batch-17,completed,False
batch:batch-17,rejected,True
batch:batch-17,waited_in_queue,True
batch:batch-17,status,rejected
batch:batch-18,batch_id,batch-18
batch:batch-18,cycle_time,11.0
batch:batch-18,queue_wait_time,7.0
batch:batch-18,processing_time,4.0
batch:batch-18,stages_count,3
batch:batch-18,completed,False
batch:batch-18,rejected,True
batch:batch-18,waited_in_queue,True
batch:batch-18,status,rejected
batch:batch-19,batch_id,batch-19
batch:batch-19,cycle_time,74.0
batch:batch-19,queue_wait_time,4.0
batch:batch-19,processing_time,16.0
batch:batch-19,stages_count,3
batch:batch-19,completed,True
batch:batch-19,rejected,False
batch:batch-19,waited_in_queue,True
batch:batch-19,status,completed
batch:batch-20,batch_id,batch-20
batch:batch-20,cycle_time,12.0
batch:batch-20,queue_wait_time,4.0
batch:batch-20,processing_time,4.0
batch:batch-20,stages_count,3
batch:batch-20,completed,False
batch:batch-20,rejected,True
batch:batch-20,waited_in_queue,True
batch:batch-20,status,rejected
batch:batch-21,batch_id,batch-21
batch:batch-21,cycle_time,11.0
batch:batch-21,queue_wait_time,5.0
batch:batch-21,processing_time,4.0
batch:batch-21,stages_count,3
batch:batch-21,completed,False
batch:batch-21,rejected,True
batch:batch-21,waited_in_queue,True
batch:batch-21,status,rejected
batch:batch-22,batch_id,batch-22
batch:batch-22,cycle_time,77.0
batch:batch-22,queue_wait_time,5.0
batch:batch-22,processing_time,16.0
batch:batch-22,stages_count,3
batch:batch-22,completed,True
batch:batch-22,rejected,False
batch:batch-22,waited_in_queue,True
batch:batch-22,status,completed
batch:batch-23,batch_id,batch-23
batch:batch-23,cycle_time,11.0
batch:batch-23,queue_wait_time,4.0
batch:batch-23,processing_time,4.0
batch:batch-23,stages_count,3
batch:batch-23,completed,False
batch:batch-23,rejected,True
batch:batch-23,waited_in_queue,True
batch:batch-23,status,rejected
batch:batch-24,batch_id,batch-24
batch:batch-24,cycle_time,9.0
batch:batch-24,queue_wait_time,5.0
batch:batch-24,processing_time,4.0
batch:batch-24,stages_count,3
batch:batch-24,completed,False
batch:batch-24,rejected,True
batch:batch-24,waited_in_queue,True
batch:batch-24,status,rejected
batch:batch-25,batch_id,batch-25
batch:batch-25,cycle_time,77.0
batch:batch-25,queue_wait_time,3.0
batch:batch-25,processing_time,16.0
batch:batch-25,stages_count,3
batch:batch-25,completed,True
batch:batch-25,rejected,False
batch:batch-25,waited_in_queue,True
batch:batch-25,status,completed
batch:batch-26,batch_id,batch-26
batch:batch-26,cycle_time,15.0
batch:batch-26,queue_wait_time,10.0
batch:batch-26,processing_time,4.0
batch:batch-26,stages_count,3
batch:batch-26,completed,False
batch:batch-26,rejected,True
batch:batch-26,waited_in_queue,True
batch:batch-26,status,rejected
batch:batch-27,batch_id,batch-27
batch:batch-27,cycle_time,17.0
batch:batch-27,queue_wait_time,8.0
batch:batch-27,processing_time,4.0
batch:batch-27,stages_count,3
batch:batch-27,completed,False
batch:batch-27,rejected,True
batch:batch-27,waited_in_queue,True
batch:batch-27,status,rejected
batch:batch-28,batch_id,batch-28
batch:batch-28,cycle_time,77.0
batch:batch-28,queue_wait_time,11.0
batch:batch-28,processing_time,16.0
batch:batch-28,stages_count,3
batch:batch-28,completed,True
batch:batch-28,rejected,False
batch:batch-28,waited_in_queue,True
batch:batch-28,status,completed
batch:batch-29,batch_id,batch-29
batch:batch-29,cycle_time,14.0
batch:batch-29,queue_wait_time,10.0
batch:batch-29,processing_time,4.0
batch:batch-29,stages_count,3
batch:batch-29,completed,False
batch:batch-29,rejected,True
batch:batch-29,waited_in_queue,True
batch:batch-29,status,rejected
batch:batch-30,batch_id,batch-30
batch:batch-30,cycle_time,12.0
batch:batch-30,queue_wait_time,8.0
batch:batch-30,processing_time,4.0
batch:batch-30,stages_count,3
batch:batch-30,completed,False
batch:batch-30,rejected,True
batch:batch-30,waited_in_queue,True
batch:batch-30,status,rejected
batch:batch-31,batch_id,batch-31
batch:batch-31,cycle_time,10.0
batch:batch-31,queue_wait_time,6.0
batch:batch-31,processing_time,4.0
batch:batch-31,stages_count,3
batch:batch-31,completed,False
batch:batch-31,rejected,True
batch:batch-31,waited_in_queue,True
batch:batch-31,status,rejected
batch:batch-32,batch_id,batch-32
batch:batch-32,cycle_time,8.0
batch:batch-32,queue_wait_time,4.0
batch:batch-32,processing_time,4.0
batch:batch-32,stages_count,3
batch:batch-32,completed,False
batch:batch-32,rejected,True
batch:batch-32,waited_in_queue,True
batch:batch-32,status,rejected
batch:batch-33,batch_id,batch-33
batch:batch-33,cycle_time,71.0
batch:batch-33,queue_wait_time,0.0
batch:batch-33,processing_time,16.0
batch:batch-33,stages_count,3
batch:batch-33,completed,True
batch:batch-33,rejected,False
batch:batch-33,waited_in_queue,True
batch:batch-33,status,completed
batch:batch-34,batch_id,batch-34
batch:batch-34,cycle_time,10.0
batch:batch-34,queue_wait_time,2.0
batch:batch-34,processing_time,4.0
batch:batch-34,stages_count,3
batch:batch-34,completed,False
batch:batch-34,rejected,True
batch:batch-34,waited_in_queue,True
batch:batch-34,status,rejected
